recipe_id,avg_rating,calories
137739,5.0,51.5
31490,3.5,173.4
112140,4.0,269.8
59389,4.5,368.1
44061,5.0,352.9
5289,5.0,160.2
25274,2.0,380.7
67888,5.0,1109.5
70971,5.0,4270.8
75452,4.4,2669.3
109439,3.0,79.2
42198,3.8,734.1
67547,3.9,462.4
107517,5.0,315.8
39959,5.0,8.2
63986,4.37,105.7
43026,4.05,94.0
23933,4.83,232.7
8559,2.0,395.4
23850,5.0,174.2
76808,4.67,126.0
24701,2.0,64.8
83873,3.0,335.8
107699,4.0,1663.3
49262,3.5,1290.4
48156,5.0,182.7
54272,4.5,295.6
47366,3.0,346.9
37073,4.5,132.6
44123,5.0,804.7
27087,3.0,174.4
59952,5.0,456.8
93249,4.0,1649.8
54100,4.43,190.9
67664,4.83,164.6
87098,4.5,276.2
25775,4.15,166.1
33165,4.8,152.5
38798,3.67,53.8
22123,4.5,647.6
90921,4.17,783.4
93959,4.5,172.8
93958,5.0,171.8
58224,4.0,223.2
33606,5.0,279.2
94710,5.0,241.0
35173,4.0,816.9
83025,2.29,5467.4
52804,4.0,612.1
108414,5.0,400.2
26995,3.0,724.4
53402,3.8,370.5
59632,4.0,794.2
22526,4.55,575.3
100870,4.0,987.8
84797,4.0,1615.2
35653,5.0,175.2
32169,5.0,255.2
24478,5.0,3.1
44045,4.67,67.1
60219,3.0,325.3
81185,4.75,115.9
30131,5.0,199.2
63593,0.0,22.9
43164,0.0,510.6
30300,5.0,3.0
78655,4.0,181.1
74805,4.86,276.3
71635,4.0,387.6
38276,4.2,477.1
97052,4.9,517.2
26835,3.42,456.6
32271,3.67,1389.5
107229,5.0,617.5
5060,0.0,180.7
42570,5.0,213.6
52443,4.0,183.3
35595,3.0,33.1
108804,4.57,227.2
83950,3.96,1260.7
19208,5.0,110.1
64302,3.5,572.6
35964,4.2,580.0
71457,2.5,253.0
95926,4.14,238.0
103948,3.0,692.2
99024,4.88,132.4
64045,5.0,649.6
41756,4.88,114.6
112959,3.75,12.8
83062,5.0,3043.4
98930,5.0,190.5
83133,4.67,179.3
39947,5.0,140.4
44895,4.0,5728.3
39363,4.26,175.7
62368,4.48,6007.2
111875,5.0,354.2
42522,5.0,184.8
34930,4.0,449.2
63793,4.43,73.1
61973,5.0,159.0
45859,5.0,72.0
58651,5.0,172.4
59534,5.0,650.0
24137,5.0,458.1
40237,4.76,2252.6
18537,3.89,373.9
104243,2.5,501.0
105069,0.0,176.6
70099,4.2,231.1
333281,4.0,138.4
234069,5.0,89.6
37841,4.8,264.7
144952,5.0,1268.7
453467,5.0,595.1
31835,3.57,157.7
197013,5.0,165.7
306168,5.0,194.8
286009,5.0,878.3
24514,4.22,422.5
42508,4.9,969.6
116679,4.0,212.0
124286,4.0,3987.2
190,2.75,558.1
475785,5.0,267.0
17265,4.13,350.0
50662,3.5,2450.5
177187,5.0,150.4
118843,3.33,5286.9
208179,5.0,339.0
500166,4.0,249.4
501028,2.5,270.2
